upc,pid,categories,brand,description,country_of_origin,favorite,size,unit,gmo,organic,temperature,heat_sensitive,warnings,images
0001111010717,0001111010717,['Dairy'],Kroger,Kroger® Plain Nonfat Greek Yogurt Tub,UNITED STATES,FALSE,32 oz,,,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111010717', 'https://www.kroger.com/product/images/large/front/0001111010717', 'https://www.kroger.com/product/images/medium/front/0001111010717', 'https://www.kroger.com/product/images/small/front/0001111010717', 'https://www.kroger.com/product/images/thumbnail/front/0001111010717', 'https://www.kroger.com/product/images/xlarge/right/0001111010717', 'https://www.kroger.com/product/images/large/right/0001111010717', 'https://www.kroger.com/product/images/medium/right/0001111010717', 'https://www.kroger.com/product/images/small/right/0001111010717', 'https://www.kroger.com/product/images/thumbnail/right/0001111010717', 'https://www.kroger.com/product/images/xlarge/back/0001111010717', 'https://www.kroger.com/product/images/large/back/0001111010717', 'https://www.kroger.com/product/images/medium/back/0001111010717', 'https://www.kroger.com/product/images/small/back/0001111010717', 'https://www.kroger.com/product/images/thumbnail/back/0001111010717', 'https://www.kroger.com/product/images/xlarge/left/0001111010717', 'https://www.kroger.com/product/images/large/left/0001111010717', 'https://www.kroger.com/product/images/medium/left/0001111010717', 'https://www.kroger.com/product/images/small/left/0001111010717', 'https://www.kroger.com/product/images/thumbnail/left/0001111010717']"
0001111007294,0001111007294,"['Bakery', 'Breakfast']",Bakery Fresh,Bakery Fresh Blueberry Muffins,UNITED STATES,FALSE,4 ct / 15 oz,,NO NON-GMO CLAIM,NO,Ambient,FALSE,NONE,"['https://www.kroger.com/product/images/xlarge/back/0001111007294', 'https://www.kroger.com/product/images/large/back/0001111007294', 'https://www.kroger.com/product/images/medium/back/0001111007294', 'https://www.kroger.com/product/images/small/back/0001111007294', 'https://www.kroger.com/product/images/thumbnail/back/0001111007294', 'https://www.kroger.com/product/images/xlarge/front/0001111007294', 'https://www.kroger.com/product/images/large/front/0001111007294', 'https://www.kroger.com/product/images/medium/front/0001111007294', 'https://www.kroger.com/product/images/small/front/0001111007294', 'https://www.kroger.com/product/images/thumbnail/front/0001111007294']"
0001111011888,0001111011888,['Baking Goods'],Smart Way,Smart Way™ Granulated Sugar,UNITED STATES,FALSE,4 lb,,,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111011888', 'https://www.kroger.com/product/images/large/front/0001111011888', 'https://www.kroger.com/product/images/medium/front/0001111011888', 'https://www.kroger.com/product/images/small/front/0001111011888', 'https://www.kroger.com/product/images/thumbnail/front/0001111011888']"
0001111013506,0001111013506,['Bakery'],Private Selection,Private Selection® Classic Creamstyle Cheesecake,UNITED STATES,FALSE,40 oz (16 servings),,,NO,Frozen,FALSE,,"['https://www.kroger.com/product/images/xlarge/right/0001111013506', 'https://www.kroger.com/product/images/large/right/0001111013506', 'https://www.kroger.com/product/images/medium/right/0001111013506', 'https://www.kroger.com/product/images/small/right/0001111013506', 'https://www.kroger.com/product/images/thumbnail/right/0001111013506', 'https://www.kroger.com/product/images/xlarge/back/0001111013506', 'https://www.kroger.com/product/images/large/back/0001111013506', 'https://www.kroger.com/product/images/medium/back/0001111013506', 'https://www.kroger.com/product/images/small/back/0001111013506', 'https://www.kroger.com/product/images/thumbnail/back/0001111013506', 'https://www.kroger.com/product/images/xlarge/front/0001111013506', 'https://www.kroger.com/product/images/large/front/0001111013506', 'https://www.kroger.com/product/images/medium/front/0001111013506', 'https://www.kroger.com/product/images/small/front/0001111013506', 'https://www.kroger.com/product/images/thumbnail/front/0001111013506', 'https://www.kroger.com/product/images/xlarge/top/0001111013506', 'https://www.kroger.com/product/images/large/top/0001111013506', 'https://www.kroger.com/product/images/medium/top/0001111013506', 'https://www.kroger.com/product/images/small/top/0001111013506', 'https://www.kroger.com/product/images/thumbnail/top/0001111013506', 'https://www.kroger.com/product/images/xlarge/left/0001111013506', 'https://www.kroger.com/product/images/large/left/0001111013506', 'https://www.kroger.com/product/images/medium/left/0001111013506', 'https://www.kroger.com/product/images/small/left/0001111013506', 'https://www.kroger.com/product/images/thumbnail/left/0001111013506']"
0001111019013,0001111019013,['Bakery'],,Italian Bread,UNITED STATES,FALSE,16 oz,,,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/back/0001111019013', 'https://www.kroger.com/product/images/large/back/0001111019013', 'https://www.kroger.com/product/images/medium/back/0001111019013', 'https://www.kroger.com/product/images/small/back/0001111019013', 'https://www.kroger.com/product/images/thumbnail/back/0001111019013', 'https://www.kroger.com/product/images/xlarge/front/0001111019013', 'https://www.kroger.com/product/images/large/front/0001111019013', 'https://www.kroger.com/product/images/medium/front/0001111019013', 'https://www.kroger.com/product/images/small/front/0001111019013', 'https://www.kroger.com/product/images/thumbnail/front/0001111019013']"
0000000003082,0000000003082,"['Produce', 'Produce']",Fresh Broccoli & Cauliflower,Broccoli Crowns,CANADA; MEXICO; UNITED STATES,FALSE,1 ct,,,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0000000003082', 'https://www.kroger.com/product/images/large/front/0000000003082', 'https://www.kroger.com/product/images/medium/front/0000000003082', 'https://www.kroger.com/product/images/small/front/0000000003082', 'https://www.kroger.com/product/images/thumbnail/front/0000000003082']"
0001111015497,0001111015497,"['Bakery', 'Breakfast']",Kroger,Kroger® Frosted Mini Donuts,UNITED STATES,FALSE,10 ct / 20 oz,,,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111015497', 'https://www.kroger.com/product/images/large/front/0001111015497', 'https://www.kroger.com/product/images/medium/front/0001111015497', 'https://www.kroger.com/product/images/small/front/0001111015497', 'https://www.kroger.com/product/images/thumbnail/front/0001111015497']"
0001111001981,0001111001981,"['Meat & Seafood', 'Natural & Organic']",Private Selection,Private Selection® Culinary Cuts USDA Prime Beef Top Sirloin Steak,UNITED STATES,FALSE,8 oz,,,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/back/0001111001981', 'https://www.kroger.com/product/images/large/back/0001111001981', 'https://www.kroger.com/product/images/medium/back/0001111001981', 'https://www.kroger.com/product/images/small/back/0001111001981', 'https://www.kroger.com/product/images/thumbnail/back/0001111001981', 'https://www.kroger.com/product/images/xlarge/right/0001111001981', 'https://www.kroger.com/product/images/large/right/0001111001981', 'https://www.kroger.com/product/images/medium/right/0001111001981', 'https://www.kroger.com/product/images/small/right/0001111001981', 'https://www.kroger.com/product/images/thumbnail/right/0001111001981', 'https://www.kroger.com/product/images/xlarge/front/0001111001981', 'https://www.kroger.com/product/images/large/front/0001111001981', 'https://www.kroger.com/product/images/medium/front/0001111001981', 'https://www.kroger.com/product/images/small/front/0001111001981', 'https://www.kroger.com/product/images/thumbnail/front/0001111001981', 'https://www.kroger.com/product/images/xlarge/bottom/0001111001981', 'https://www.kroger.com/product/images/large/bottom/0001111001981', 'https://www.kroger.com/product/images/medium/bottom/0001111001981', 'https://www.kroger.com/product/images/small/bottom/0001111001981', 'https://www.kroger.com/product/images/thumbnail/bottom/0001111001981', 'https://www.kroger.com/product/images/xlarge/left/0001111001981', 'https://www.kroger.com/product/images/large/left/0001111001981', 'https://www.kroger.com/product/images/medium/left/0001111001981', 'https://www.kroger.com/product/images/small/left/0001111001981', 'https://www.kroger.com/product/images/thumbnail/left/0001111001981', 'https://www.kroger.com/product/images/xlarge/top/0001111001981', 'https://www.kroger.com/product/images/large/top/0001111001981', 'https://www.kroger.com/product/images/medium/top/0001111001981', 'https://www.kroger.com/product/images/small/top/0001111001981', 'https://www.kroger.com/product/images/thumbnail/top/0001111001981']"
0000000004052,0000000004052,"['Produce', 'International', 'Produce']",,Papayas,BRAZIL; MEXICO; UNITED STATES,FALSE,1 lb,,NO NON-GMO CLAIM,NO,Ambient,FALSE,none,"['https://www.kroger.com/product/images/xlarge/front/0000000004052', 'https://www.kroger.com/product/images/large/front/0000000004052', 'https://www.kroger.com/product/images/medium/front/0000000004052', 'https://www.kroger.com/product/images/small/front/0000000004052', 'https://www.kroger.com/product/images/thumbnail/front/0000000004052']"
0001111011775,0001111011775,['Beverages'],Kroger,Kroger® Donut Shop Blend Medium Roast Coffee Pods,UNITED STATES,FALSE,12 ct,,,,Ambient,FALSE,Caution: Pod is hot. Allow to cool after use.,"['https://www.kroger.com/product/images/xlarge/right/0001111011775', 'https://www.kroger.com/product/images/large/right/0001111011775', 'https://www.kroger.com/product/images/medium/right/0001111011775', 'https://www.kroger.com/product/images/small/right/0001111011775', 'https://www.kroger.com/product/images/thumbnail/right/0001111011775', 'https://www.kroger.com/product/images/xlarge/back/0001111011775', 'https://www.kroger.com/product/images/large/back/0001111011775', 'https://www.kroger.com/product/images/medium/back/0001111011775', 'https://www.kroger.com/product/images/small/back/0001111011775', 'https://www.kroger.com/product/images/thumbnail/back/0001111011775', 'https://www.kroger.com/product/images/xlarge/front/0001111011775', 'https://www.kroger.com/product/images/large/front/0001111011775', 'https://www.kroger.com/product/images/medium/front/0001111011775', 'https://www.kroger.com/product/images/small/front/0001111011775', 'https://www.kroger.com/product/images/thumbnail/front/0001111011775', 'https://www.kroger.com/product/images/xlarge/top/0001111011775', 'https://www.kroger.com/product/images/large/top/0001111011775', 'https://www.kroger.com/product/images/medium/top/0001111011775', 'https://www.kroger.com/product/images/small/top/0001111011775', 'https://www.kroger.com/product/images/thumbnail/top/0001111011775', 'https://www.kroger.com/product/images/xlarge/left/0001111011775', 'https://www.kroger.com/product/images/large/left/0001111011775', 'https://www.kroger.com/product/images/medium/left/0001111011775', 'https://www.kroger.com/product/images/small/left/0001111011775', 'https://www.kroger.com/product/images/thumbnail/left/0001111011775']"
0001111010760,0001111010760,"['Dairy', 'Natural & Organic']",Simple Truth Organic,Simple Truth Organic® Plain Nonfat Greek Yogurt Tub,UNITED STATES,FALSE,32 oz,,PRODUCT LABELED WITH NON-GMO CLAIM,ORGANIC CLAIM AND PRINTED ON PACKAGE,Refrigerated,FALSE,"KEEP REFRIGERATED
CERTIFIED ORGANIC BY QAI, SAN DEIGO, CA
PERISHABLE
0% MILKFAT","['https://www.kroger.com/product/images/xlarge/front/0001111010760', 'https://www.kroger.com/product/images/large/front/0001111010760', 'https://www.kroger.com/product/images/medium/front/0001111010760', 'https://www.kroger.com/product/images/small/front/0001111010760', 'https://www.kroger.com/product/images/thumbnail/front/0001111010760', 'https://www.kroger.com/product/images/xlarge/back/0001111010760', 'https://www.kroger.com/product/images/large/back/0001111010760', 'https://www.kroger.com/product/images/medium/back/0001111010760', 'https://www.kroger.com/product/images/small/back/0001111010760', 'https://www.kroger.com/product/images/thumbnail/back/0001111010760', 'https://www.kroger.com/product/images/xlarge/right/0001111010760', 'https://www.kroger.com/product/images/large/right/0001111010760', 'https://www.kroger.com/product/images/medium/right/0001111010760', 'https://www.kroger.com/product/images/small/right/0001111010760', 'https://www.kroger.com/product/images/thumbnail/right/0001111010760', 'https://www.kroger.com/product/images/xlarge/top/0001111010760', 'https://www.kroger.com/product/images/large/top/0001111010760', 'https://www.kroger.com/product/images/medium/top/0001111010760', 'https://www.kroger.com/product/images/small/top/0001111010760', 'https://www.kroger.com/product/images/thumbnail/top/0001111010760', 'https://www.kroger.com/product/images/xlarge/left/0001111010760', 'https://www.kroger.com/product/images/large/left/0001111010760', 'https://www.kroger.com/product/images/medium/left/0001111010760', 'https://www.kroger.com/product/images/small/left/0001111010760', 'https://www.kroger.com/product/images/thumbnail/left/0001111010760']"
0000000003127,0000000003127,['Produce'],Fresh Pomegranate,Pomegranates,UNITED STATES,FALSE,each,,NO NON-GMO CLAIM,NO,Ambient,FALSE,none,"['https://www.kroger.com/product/images/xlarge/back/0000000003127', 'https://www.kroger.com/product/images/large/back/0000000003127', 'https://www.kroger.com/product/images/medium/back/0000000003127', 'https://www.kroger.com/product/images/small/back/0000000003127', 'https://www.kroger.com/product/images/thumbnail/back/0000000003127', 'https://www.kroger.com/product/images/xlarge/front/0000000003127', 'https://www.kroger.com/product/images/large/front/0000000003127', 'https://www.kroger.com/product/images/medium/front/0000000003127', 'https://www.kroger.com/product/images/small/front/0000000003127', 'https://www.kroger.com/product/images/thumbnail/front/0000000003127']"
0001111010209,0001111010209,"['Natural & Organic', 'Dairy']",Simple Truth Organic,Simple Truth Organic® Half & Half Quart,UNITED STATES,FALSE,1 qt,,PRODUCT LABELED WITH NON-GMO CLAIM,ORGANIC CLAIM AND PRINTED ON PACKAGE,Refrigerated,FALSE,Not to be used as infant formula.,"['https://www.kroger.com/product/images/xlarge/front/0001111010209', 'https://www.kroger.com/product/images/large/front/0001111010209', 'https://www.kroger.com/product/images/medium/front/0001111010209', 'https://www.kroger.com/product/images/small/front/0001111010209', 'https://www.kroger.com/product/images/thumbnail/front/0001111010209', 'https://www.kroger.com/product/images/xlarge/right/0001111010209', 'https://www.kroger.com/product/images/large/right/0001111010209', 'https://www.kroger.com/product/images/medium/right/0001111010209', 'https://www.kroger.com/product/images/small/right/0001111010209', 'https://www.kroger.com/product/images/thumbnail/right/0001111010209', 'https://www.kroger.com/product/images/xlarge/back/0001111010209', 'https://www.kroger.com/product/images/large/back/0001111010209', 'https://www.kroger.com/product/images/medium/back/0001111010209', 'https://www.kroger.com/product/images/small/back/0001111010209', 'https://www.kroger.com/product/images/thumbnail/back/0001111010209', 'https://www.kroger.com/product/images/xlarge/left/0001111010209', 'https://www.kroger.com/product/images/large/left/0001111010209', 'https://www.kroger.com/product/images/medium/left/0001111010209', 'https://www.kroger.com/product/images/small/left/0001111010209', 'https://www.kroger.com/product/images/thumbnail/left/0001111010209']"
0001111012308,0001111012308,['Deli'],Private Selection,Private Selection® Sharp White Cheddar Cracker Cuts Sliced Cheese,UNITED STATES,FALSE,30 slices / 10 oz,,,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/right/0001111012308', 'https://www.kroger.com/product/images/large/right/0001111012308', 'https://www.kroger.com/product/images/medium/right/0001111012308', 'https://www.kroger.com/product/images/small/right/0001111012308', 'https://www.kroger.com/product/images/thumbnail/right/0001111012308', 'https://www.kroger.com/product/images/xlarge/front/0001111012308', 'https://www.kroger.com/product/images/large/front/0001111012308', 'https://www.kroger.com/product/images/medium/front/0001111012308', 'https://www.kroger.com/product/images/small/front/0001111012308', 'https://www.kroger.com/product/images/thumbnail/front/0001111012308', 'https://www.kroger.com/product/images/xlarge/back/0001111012308', 'https://www.kroger.com/product/images/large/back/0001111012308', 'https://www.kroger.com/product/images/medium/back/0001111012308', 'https://www.kroger.com/product/images/small/back/0001111012308', 'https://www.kroger.com/product/images/thumbnail/back/0001111012308', 'https://www.kroger.com/product/images/xlarge/left/0001111012308', 'https://www.kroger.com/product/images/large/left/0001111012308', 'https://www.kroger.com/product/images/medium/left/0001111012308', 'https://www.kroger.com/product/images/small/left/0001111012308', 'https://www.kroger.com/product/images/thumbnail/left/0001111012308']"
